Program_Code,Institution_Name,departments,Programme_Name,Cutoff_2023,Cutoff_2022,Subject_1,Subject_2,Subject_3,Subject_4
1249564,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Architecture & Built Environment,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,41.803,42.528,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1263102,UNIVERSITY OF NAIROBI,Architecture & Built Environment,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,42.99,43.794,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1111102,KENYATTA UNIVERSITY,Architecture & Built Environment,BACHELOR OF ARCHITECTURE,41.494,42.407,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1063103,TECHNICAL UNIVERSITY OF MOMBASA,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,-,-,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1112103,TECHNICAL UNIVERSITY OF KENYA,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,38.424,40.533,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1249103,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,39.763,41.641,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1263103,UNIVERSITY OF NAIROBI,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,40.232,40.993,MAT A(121):C+,PHY(232):C+,ENG(101)/KIS(102):C+,
1263105,UNIVERSITY OF NAIROBI,Arts & Humanities,BACHELOR OF ARTS (DESIGN),26.093,25.961,MAT A(121):C+,PHY(232):C+,,
1263106,UNIVERSITY OF NAIROBI,Arts & Humanities,BACHELOR OF ARTS (ANTHROPOLOGY),22.449,22.916,,,,
1117106,PWANI UNIVERSITY,Arts & Humanities,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,22.916,,,,
1480106,"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",Arts & Humanities,BACHELOR OF ARTS IN ANTHROPOLOGY,22.449,22.916,,,,
1087107,KISII UNIVERSITY,Pure Sciences,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1103107,KCA UNIVERSITY,Pure Sciences,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1685107,THARAKA UNIVERSITY,Pure Sciences,BACHELOR OF ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1053107,"JARAMOGI OGINGA ODINGA UNIVERSITY
OF SCIENCE AND TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),18.831,19.914,MAT A(121):C+,,,
1229107,MASENO UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",26.81,24.601,MAT A(121):C+,,,
1515107,TOM MBOYA UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",18.831,19.914,MAT A(121):C+,,,
1057107,EGERTON UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),32.262,28.868,MAT A(121):C+,,,
1096107,GARISSA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
1111107,KENYATTA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),34.474,31.842,MAT A(121):C+,,,
1118107,UNIVERSITY OF KABIANGA,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
1166107,SOUTH EASTERN KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
1170107,MACHAKOS UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),23.617,19.914,MAT A(121):C+,,,
"PROG
CODE",INSTITUTION NAME,Other,PROGRAMME NAME,CUTOFF - 2023,CUTOFF - 2022,SUBJECT 1,SUBJECT 2,SUBJECT 3,SUBJECT 4
1240107,"MERU UNIVERSITY OF SCIENCE AND
TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),18.831,19.914,MAT A(121):C+,,,
1253107,MOI UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),24.905,24.923,MAT A(121):C+,,,
1263107,UNIVERSITY OF NAIROBI,Pure Sciences,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),39.531,39.271,MAT A(121):C+,,,
1061107,KABARAK UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1079107,KIRINYAGA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1080107,CO-OPERATIVE UNIVERSITY OF KENYA,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.061,24.735,MAT A(121):C+,,,
1093107,UNIVERSITY OF EMBU,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,-,-,MAT A(121):C+,,,
1105107,CHUKA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.416,22.714,MAT A(121):C+,,,
1114107,UNIVERSITY OF ELDORET,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,23.568,19.914,MAT A(121):C+,,,
1162107,DAYSTAR UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1164107,MULTIMEDIA UNIVERSITY OF KENYA,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,28.075,25.777,MAT A(121):C+,,,
1173107,"DEDAN KIMATHI UNIVERSITY OF
TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,24.443,24.342,MAT A(121):C+,,,
1244107,KARATINA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1246107,MURANG'A UNIVERSITY OF TECHNOLOGY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1249107,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,34.347,31.441,MAT A(121):C+,,,
1279107,MOUNT KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1425107,ZETECH UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1480107,"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",Pure Sciences,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,18.831,19.914,MAT A(121):C+,,,
1229108,MASENO UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",25.535,23.851,MAT A(121):C,PHY(232):C,CHE(233):C+,
1515108,TOM MBOYA UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1082108,"MASINDE MULIRO UNIVERSITY OF
SCIENCE & TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),25.036,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1087108,KISII UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1093108,UNIVERSITY OF EMBU,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1117108,PWANI UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1246108,MURANG'A UNIVERSITY OF TECHNOLOGY,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1263108,UNIVERSITY OF NAIROBI,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),27.458,31.98,MAT A(121):C,PHY(232):C,CHE(233):C+,
1279108,MOUNT KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1091108,TAITA TAVETA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1105108,CHUKA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1164108,MULTIMEDIA UNIVERSITY OF KENYA,Pure Sciences,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1173108,"DEDAN KIMATHI UNIVERSITY OF
TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,15.683,15.982,MAT A(121):C,PHY(232):C,CHE(233):C+,
1249108,"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,24.943,24.479,MAT A(121):C,PHY(232):C,CHE(233):C+,
1229109,MASENO UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",22.755,19.914,MAT A(121):C+,,,
1515109,TOM MBOYA UNIVERSITY,Pure Sciences,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",18.831,19.914,MAT A(121):C+,,,
1073109,RONGO UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1108109,KIBABII UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1112109,TECHNICAL UNIVERSITY OF KENYA,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),24.252,26.695,MAT A(121):C+,,,
1117109,PWANI UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1165109,MAASAI MARA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1166109,SOUTH EASTERN KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1170109,MACHAKOS UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),18.831,19.914,MAT A(121):C+,,,
1263109,UNIVERSITY OF NAIROBI,Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),32.945,32.487,MAT A(121):C+,,,
1480109,"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",Pure Sciences,BACHELOR OF SCIENCE (MATHEMATICS),-,19.914,MAT A(121):C+,,,
1105109,CHUKA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN MATHEMATICS,23.741,19.914,MAT A(121):C+,,,
1181109,"UNIVERSITY OF EASTERN AFRICA,
BARATON",Pure Sciences,BACHELOR OF SCIENCE IN MATHEMATICS,18.831,19.914,MAT A(121):C+,,,
"PROG
CODE",INSTITUTION NAME,Other,PROGRAMME NAME,CUTOFF - 2023,CUTOFF - 2022,SUBJECT 1,SUBJECT 2,SUBJECT 3,SUBJECT 4
1240109,"MERU UNIVERSITY OF SCIENCE AND
TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN MATHEMATICS,18.831,19.914,MAT A(121):C+,,,
1460109,"KIRIRI WOMENS UNIVERSITY OF SCIENCE
AND TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE IN MATHEMATICS,18.831,19.914,MAT A(121):C+,,,
1166110,SOUTH EASTERN KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (METEOROLOGY),15.683,17.363,MAT A(121):C+,PHY(232):C+,GEO(312)/CHE(233):C,
1263110,UNIVERSITY OF NAIROBI,Pure Sciences,BACHELOR OF SCIENCE (METEOROLOGY),15.683,17.363,MAT A(121):C+,PHY(232):C+,GEO(312)/CHE(233):C,
1082111,"MASINDE MULIRO UNIVERSITY OF
SCIENCE & TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1093111,UNIVERSITY OF EMBU,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1108111,KIBABII UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1111111,KENYATTA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),24.74,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1166111,SOUTH EASTERN KENYA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),-,-,MAT A(121):C,BIO(231):C+,CHE(233):C,
1263111,UNIVERSITY OF NAIROBI,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),24.957,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1470111,KAIMOSI FRIENDS UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
3890111,KOITALEEL SAMOEI UNIVERSITY COLLEGE,Pure Sciences,BACHELOR OF SCIENCE (BIOLOGY),-,-,MAT A(121):C,BIO(231):C+,CHE(233):C,
1105111,CHUKA UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN BIOLOGY,15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1170111,MACHAKOS UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN BIOLOGY,15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1181111,"UNIVERSITY OF EASTERN AFRICA,
BARATON",Pure Sciences,BACHELOR OF SCIENCE IN BIOLOGY,15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1480111,"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",Pure Sciences,BACHELOR OF SCIENCE IN BIOLOGY,15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1087111,KISII UNIVERSITY,Pure Sciences,BACHELOR OF SCIENCE IN BIOLOGY (BOTANY OR ZOOLOGY OPTION),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
1053111,"JARAMOGI OGINGA ODINGA UNIVERSITY
OF SCIENCE AND TECHNOLOGY",Pure Sciences,BACHELOR OF SCIENCE (BIOLOGICAL SCIENCES),15.683,16.974,MAT A(121):C,BIO(231):C+,CHE(233):C,
