Job Title,Company,Minimum Qualification,Skills Required,Location,Years of Experience,Date Posted,Department,Summary
Marketing Executive at a Reputable Company,Marketing Executive at a Reputable Company,,,Provide accurate and compelling information to clients regarding available advertising opportunities and locations.,,,Marketing," Client Relationship Management is a key point of contact for client queries, ensuring timely and satisfactory resolution . It is also a key role in developing and executing marketing plans and campaigns for the company ."
Finance Manager at Teleperformance,Teleperformance,"Certified/Chartered Public Accountant (CPA), Association of Chartered Certified Accountants (ACCA) or equivalent qualification is required for this position.",Good written and verbal skills in the English language.,,"Proficiency in MS-Office with significant experience in excel, accounting package knowledge will be an added advantage",,Finance, Responsibilities include Account Receivable Management and Account Payable Management . Review contract or prepare purchase order of new client before empanelment of clients . Follow up with stakeholder for collection of money .
Quality Control Officer at Victory Farms,Victory Farms,,,,Minimum of 2-3 years experience in food quality control and safety.,,IT," Quality Control Officer will be responsible for monitoring and ensuring that our product comply with safety and quality standards . This role is crucial for conducting inspections and tests, maintaining accurate records, and collaborating with production teams to resolve quality issues ."
Vacancies at Nyandarua Water & Sanitation Company,Nyandarua Water & Sanitation Company,"Full professional qualification in either CPA (K), ACCA, CISA or CIA.",Excellent planning and organizational skills.,,At least 3 years’ experience in a senior management position.,,Other," The successful candidate will be responsible for providing the conduct of independent appraisal of the effectiveness and improvement of policies, procedures and standards of management of financial and physical resources ."
Junior Sous Chef at Accor,Accor,Qualifications,Strong culinary skills and knowledge of various cooking techniques.,,"Proven experience in a professional kitchen, preferably as a chef de partie or junior sous chef.",,Other," The Junior Sous Chef is responsible for ensuring high standards of food preparation, quality, and hygiene . This role supports daily kitchen activities, supervises junior kitchen staff and helps maintain an efficient and organized kitchen environment ."
Nurse in Charge at Jacaranda Maternity,Jacaranda Maternity,,Knowledge and Skills Requirements,"We are expanding to new locations and require additional Charge Nurse for upcoming location in Nairobi. Reporting to the Branch Manager, you will take on responsibility of overseeing the Nursing care of the branch by managing resources and staff, growing the locations revenue, delivering quality client experience and maintaining superior patient satisfaction.","We are expanding to new locations and require additional Charge Nurse for upcoming location in Nairobi. Reporting to the Branch Manager, you will take on responsibility of overseeing the Nursing care of the branch by managing resources and staff, growing the locations revenue, delivering quality client experience and maintaining superior patient satisfaction.",,Healthcare," We are expanding to new locations and require additional Charge Nurse for upcoming location in Nairobi . Reporting to the Branch Manager, you will take on responsibility of overseeing the Nursing care of the branch ."
Audit Assistant at MNC Consulting Group Limited,MNC Consulting Group Limited,QUALIFICATIONS,Strong numerical and analytical skills.,,,,Administration," At least CPA intermediate level with strong numerical and analytical skills . Includes basic knowledge of accounting standards and audit procedures . Includes proficiency in Microsoft Office, excellent attention to detail and organizational skills ."
Jobs at Belva Digital,Belva Digital,,,,,,Other, Shortlised candidates will be contacted by shortlised applicants . Only shortlified candidates will have to be contacted . Go to method of application to apply for the job .
Latest Jobs at Gertrude's Children's Hospital,Gertrude's Children's Hospital,,,,,,Other, Gertrude's Children’s hospital is looking for a Financial & Operations Internal Auditor . Responsibilities include designing audit procedures to execute the annual audit plan . Reviewing reliability and integrity of financial and operating information .
Vacancies at Mama Ngina University College (MNUC),Mama Ngina University College (MNUC),,Possession of instructions pedagogical skills will be an added advantage,,At least three (3) years of relevant experience in a learning institution or ICT support role;,,Other," Duties and responsibilities: Maintaining and troubleshoot computers, printers, and networking equipment in University College labs . Provide orientation on laboratory rules, usage policies, and best practices in digital safety; monitor lab usage to prevent unauthorized access and ensure data security ."
Associate Agronomy Advisor at TechnoServe Kenya,TechnoServe Kenya,,Required skills and experience,,Required skills and experience,,Other, The Associate Agronomy Advisor shall support the implementation of strategies that will enable clients to achieve sustainable increases in coffee quality and yields . The role is to help smallholder coffee farmers and local stakeholders on the TechnoServe coffee project work .
Payroll Accounts Officer at World Vision Kenya,World Vision Kenya,Degree in Human Resources/Administration and or Accounting/Finance Qualification,Strong analytical skills,"Prepare contract adjustment letters – Salary adjustments, change in location et al",Educational and Experience Required,,Administration, The role involves accurately processing payroll on time and making sure that statutory deductions and key payroll deduction paid on specific dates . The role also involves contract management and facilitating the signing of documents .
Careers at APA Life Assurance Company Ltd,APA Life Assurance Company Ltd,ACADEMIC QUALIFICATIONS,JOB SKILLS AND REQUIREMENTS,,"Proactively maintain claims data to identify trends, gaps, risks and opportunities and share them with the team; use the insights to build innovative ways to improve APA Life claims experience.",,Other," Processing and paying of all non-risk Individual Life claims as and when they are due . Maintaining constant engagement and follow up with clients on pending payments . Proactively maintain claims data to identify trends, gaps, risks and opportunities ."
Laboratory Technologist at Outspan Hospital,Outspan Hospital,Qualifications and Requirements,Other Desirable Skills,,At least two (2) years experience in a hospital laboratory,,Other, Roles and Responsibilities: To perform clinical laboratory tests and provide accurate and timely results . Support development and maintenance of the laboratory QMS based on ISO 15189:2022 criteria . Qualifications and Requirements: Diploma in Medical Laboratory Sciences or a Higher diploma in Histopathology .
Fashion Retail Manager (Karen) at Gap Recruitment Services Limited,Gap Recruitment Services Limited,,Strong team management and coordination skills.,,At least 3-5 years of experience in a related field.,,IT," Employers need a strong sense of responsibility, positive attitude, and good professional ethics . Responsibilities: Oversee and manage daily store operations, ensuring smooth and efficient functioning ."
Customer Experience Manager at Rose Avenue Group,Rose Avenue Group,,Excellent communication & Interpersonal skills,,Exceptional Customer Experience,,Other, Job Responsibilities include managing a team that reduces pain points for the public . The team will work together to improve the quality of service to the public.
Cloud Support & Implementation Specialist at Samaritans Purse,Samaritans Purse,,,,,,Other," In the role of Support & Implementation Specialist, you will have the opportunity to:Maintain a personal, active relationship with Jesus Christ and is a consistent witness for Jesus Christ . Diagnose and resolves technical issues reported by partners, providing timely and effective solutions to minimize service disruptions .Guide partners through the configuration of ACS products according to partner needs, tailoring settings to meet specific business requirements ."
Tupande Market Access Associate at One Acre Fund,One Acre Fund,Qualifications,,,4+ years of working experience with 3+ years of strategy or management consulting experience,,Other," As the Market Access Associate, you will lead innovation, growth and continuous improvement across markets to maximize impact for smallholder farmers and value for Tupande . This is a remote position based in Nairobi, Kenya with field travel required ."
Server at Fairmont Hotels & Resorts,Fairmont Hotels & Resorts,Qualifications,Excellent written/verbal communication and interpersonal skills,,"Crisp, Efficient Food and beverage service with excellent rapport building – provides an experience, not just a meal.",,IT," Job Description: Reporting to the F&B Manager, responsibilities and essential job functions include but are not limited to the following: Sets up and tears down service stations. Taking table orders for all food and beverage from the guests and serve in a professional and positive manner."
Restaurant Supervisor at Nexus Staffing Solutions,Nexus Staffing Solutions,,"Strong leadership, communication, and interpersonal skills.",,"Our client, a well-established and fast-paced restaurant in Nairobi, is seeking to hire a Restaurant Supervisor who is proactive, energetic, and experienced in managing a busy restaurant environment. The ideal candidate is someone who can lead a team, ensure smooth daily operations, and deliver excellent customer service under pressure.",,Other," The ideal candidate is someone who can lead a team, ensure smooth daily operations, and deliver excellent customer service under pressure . Key Responsibilities: Supervise daily front-of-house and back of-house operations to ensure seamless restaurant functioning ."
Career Opportunities at Tugende,Tugende,Qualifications and Experience,"This role demands a proactive and highly organized individual with excellent interpersonal skills, a solid grasp of HR best practices, and the ability to balance strategic initiatives with hands-on operational HR work.",,Qualifications and Experience,,Other," The Senior HR Officer will coordinate recruitment, performance, employee relations, training, and compliance . The successful candidate will exemplify and embrace Tugende’s Core Values of: Integrity, Empathy, Solutions Oriented, Work as a Team and Always Growing ."
Showroom Manager at KEDA Kenya Ceramics Company Limited,KEDA Kenya Ceramics Company Limited,Candidates with retail sales certification or large-scale store promotion awards will be preferred.,"Train staff to improve sales techniques, customer service, and inventory management skills.Monitor employee performance and enforce operational standards.",,"Guide sales and customer service teams to enhance performance and customer experience.Maintain and regularly update customer databases, including visitor records.Handle wholesale and project orders, coordinating delivery logistics.",,Other," Sales & Marketing Management: Oversee all sales and marketing activities in the showroom . Maintain daily, weekly, and monthly reporting and planning systems ."
Data Science Senior Technical Mentor at Moringa School,Moringa School,,,,"The ideal candidate has demonstrated experience in data science and working well in diverse teams, even in a dynamic and changing environment. The Technical Mentor role provides the mentorship and supervision necessary to ensure that their students have a 5-star experience and achieve strong outcomes.",,IT, The Technical Mentor role provides the mentorship and supervision necessary to ensure students have a 5-star experience and achieve strong outcomes . The ideal candidate has demonstrated experience in data science and working well in diverse teams .
Safety Associate Specialist with English Language at IQVIA,IQVIA,,Excellent written and verbal skills in English (min. C1),,Minimum Required Education and Experience,,Other," The Safety Associate, IQVIA Safety Operations team, will review, assess and process safety data and information, received from various sources and distributed reports onwards to both internal and external third parties ."
Finance Officer - Grants at World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,"Strong computer skills in word processing, databases, and other relevant office applications.",Collaborate with Principal Investigator (PI) regarding staff time allocation to be updated in the system.,"Education, knowledge and experience",,Finance, Duties and responsibilities:Monitor Budget and Actual Expenses of restricted grants . Review and verify expenditures of restricted projects assigned to ensure adherence to budgetary and donor requirements .
Director of Programmes at Access Agriculture,Access Agriculture,Qualifications and key skills,Qualifications and key skills,Location,Experience in management of international development programmes,,Other, Duties: To work closely with the Executive Director and colleagues to ensure timely compliance with multiple project activities . Establish reporting and activity schedules for different projects. Work with the Finance team to ensure compliance with project demands.
Vacancies at ibuQa.io,ibuQa.io,,,,,,Other, Only shortlisted candidates will be contacted by the shortlisted candidate . Only shortlist candidates will have to be shortlisted before being contacted . Go to method of application » » » .
Job Recruitment at Agricultural Employers’ Association,Agricultural Employers’ Association,Qualifications and Requirements,"Proven basic computer skills (e.g., MS Office, report writing).",,We are seeking to recruit a TRAINING OFFICER specializing in STATUTORY TRAININGS in OCCUPATIONAL SAFETY AND HEALTH (OSH). The ideal candidate should have a strong background in Science or OSH with a solid record of hands-on experience and training delivery in the field.,,Other, We are seeking a TRAINING OFFICER specializing in OCCUPATIONAL SAFETY and HEALTH (OSH) The ideal candidate should have a strong background in Science or OSH .
Intern - Communications at Danish Refugee Council,Danish Refugee Council,,Build the Intern’s Professional Skills,,"The Project Communications Intern will support the communication aspects of peacebuilding projects aimed at promoting peace, social cohesion, and conflict resolution in the Karamoja region. Alongside gains in terms of experience, the intern will assist in documenting project activities, creating content for various communication platforms, and supporting stakeholder engagement. The intern will also work in collaboration with the project teams and partners in amplify the impact of the project by ensuring consistent messaging, visibility of achievements, and effective dissemination of information that maintains visibility of the project.",,Other," The Project Communications Intern will support the communication aspects of peacebuilding projects aimed at promoting peace, social cohesion, and conflict resolution in the Karamoja region . The intern will assist in documenting project activities, creating content for various communication platforms, and supporting stakeholder engagement ."
Graduate Trainee Program at Gulf African Bank,Gulf African Bank,,,,,,IT," The Graduate Trainees will get the opportunity to gain practical insight of the financial sector through an intensive 18 Month on-the-job training in various functions in the bank, mentorship programs as well as structured online and in person training ."
"Associate Director of Finance, Africa Region at Nature Conservancy",Nature Conservancy,,,,"Bachelor’s degree in Finance, Accounting, Business Administration or related field and 7 years related work experience, or equivalent combination of education and experience.",,Finance, The Finance/Accounting Manager II manages the activities and personnel for all aspects of a significant finance or accounting area at the corporate or major unit level . They provide high-level financial analysis to senior organizational leadership .
Jobs at BRAC,BRAC,,,,"The Digital Financial Services (DFS) Manager will drive the implementation of BKCL digital strategies that aim to increase outreach, deliver a superior customer experience, increase organizational efficiency, and find the right balance between tech and touch for BKCL customers.",,Other," The Digital Financial Services (DFS) Manager will drive the implementation of BKCL digital strategies that aim to increase outreach, deliver a superior customer experience . The DFS Manager will think creatively to innovate new uses for technology to address access, usage, literacy, security, and other barriers limiting the use of DFS by BRAC’s existing and target customers especially women and youth ."
Customer Experience Officer at M-KOPA Solar,M-KOPA Solar,,"Technical proficiency in diagnosing and troubleshooting M-KOPA products is essential, with motorbike knowledge being advantageous. You should have strong Microsoft Office skills (Excel, PowerPoint) for reporting and presentations, along with data interpretation abilities to derive insights from customer data.",,We are looking for a Customer Experience Officer to join our Mobility Customer Experience group; as we scale up and drive digital and financial inclusion across our markets.,,Administration, We are looking for a Customer Experience Officer to join our Mobility Customer Experience group . You will ensure seamless onboarding and adoption of M-KOPA's mobility products .
Assistant Relationship Manager at Britam,Britam,"Knowledge, experience and qualifications required",,,"Applies knowledge, resources, and experience to resolve problems.",,Administration," Collaboratively, work closely with other team members to implement strategies for the allocated Bank partners for profitable business acquisition for all lines of businesses (GI, EMC, Life & Pension)"
Ongoing Recruitment at Pwani University,Pwani University,Academic Qualifications,,,,,Other, This is a University teaching/research position . Applicants must have an earned PhD or a Master's Degree or equivalent qualification in the specified area from an accredited and recognized University .
Vacancies at d.light,d.light,,Skills And Key Competencies,,3-5 years’ experience in a busy FMCG environment.,,Other, The incumbent will ensure that stock control procedures are in place and adhered to in order to safe guard Company stocks . The Stock Controller is the custodian of stock record & balances .
"Journalist, BBC Somali at BBC World Service",BBC World Service,,YOUR SKILLS AND EXPERIENCE,,YOUR SKILLS AND EXPERIENCE,,Other," There is a golden opportunity to become a Journalist in BBC Somali as we seek to extend its trusted reputation across radio and digital for the next generation . By joining the team, you will receive first-class training and share your stories with millions of BBC’s global audience ."
Early Years Foundation Stage (EYFS) Teacher / Kindergarten Teacher at Kabete Junior Academy,Kabete Junior Academy,,,,A minimum of 5 years of teaching experience in a Kindergarten setting.,,Education," Kabete Junior Academy is a leading British Curriculum Kindergarten . School blends nature, creativity, and global best practices to create a nurturing environment for learners aged 16 months to 6 years ."
GEF Project Specialist II at United Nations Environment Programme (UNEP),United Nations Environment Programme (UNEP),Qualifications/special skills,Qualifications/special skills,,A first level degree with additional two years of qualifying experience maybe accepted in lieu of an advanced university degree.,,Other," Project Specialist is required to manage part of UNEP's portfolio of GEF mitigation projects in Latin American and the Caribbean . Thematic areas of these projects include those related to sustainable cities, low-carbon mobility, energy efficiency and climate transparency ."
Commission-Based Insurance Agents at VisionFund Kenya,VisionFund Kenya,,Strong interpersonal and relationship-building skills,,"Previous experience in sales, customer service, or insurance is a strong advantage",,Other," VFK is looking for dynamic, purpose driven, and results-oriented Commission-Based Insurance Agents to join our expanding team . You will play a vital role in offering trusted insurance solutions to clients ."
Vacancies at Kenya Builders & Concrete Co. Ltd,Kenya Builders & Concrete Co. Ltd,,,,,,Other," As an Accounts Manager, your primary responsibility is to foster and maintain strong relationships with clients . You will be the main point of contact between the company and its clients, working to understand their needs and address concerns ."
Latest Recruitments at CDL Human Resource,CDL Human Resource,Qualifications- Academic and Professional,,,"Audit adherence to policies and procedures and take the necessary actions i.e. Team Training, execute stock takes, customer experience surveys",,Human Resources," Key Responsibilities: Drive the Revenue & Profitability of the Shops within allocated Retail cluster . Manage the shops look and feel consistent with the brand, uniforms and consistency in animation activities inside or outside the shop. Manage balance between consignment stocks and DFP sales with an objective of maximising device sales ."
Latest Recruitment at APA Life Assurance Company Ltd,APA Life Assurance Company Ltd,ACADEMIC QUALIFICATIONS,JOB SKILLS AND REQUIREMENTS,,EXPERIENCE,,Other," The role includes sourcing, procuring and procuring of business in line with the set targets/budgets . The role is a member of the Executive Executive Committee . The experience experience includes a Bachelor's degree in relevant field ."
Tupande Soko Chief of Staff at One Acre Fund,One Acre Fund,Qualifications,,,5+ years of working experience with 3+ years of strategy or management consulting experience,,Other, You will collaborate with senior leadership to develop and implement operational strategies and deliver special projects that align with the overall business objectives . You will identify and streamline bottlenecks in internal operations and manage tracking of important departmental controls .
Careers at Britam,Britam,"Knowledge, experience and qualifications required",,,"Knowledge, experience and qualifications required",,Other," Job Purpose: Reviewing proposal forms, verifying client’s data, counter-checking the terms of the policy as well as reviewing the conditions of policy . Maintain high standards of customer service - responding to clients enquiries; (walk in clients,telephone and emails)"
"Developer, Business Intelligence at Standard Bank Group",Standard Bank Group,Qualifications,"Strong reporting and analytical skills using tools such as SQL, Python & Power BI DAX",,Experience Required,,IT," The Business Intelligence Developer is responsible for designing, developing, and maintaining advanced business intelligence (BI) and performance management solutions . The role enables strategic decision-making by converting business and technical requirements into clear, actionable insights ."
Plant Engineer at LOreal,LOreal,,Strong communication skills to collaborate with diverse teams and stakeholders.,,"A minimum of 5 years of hands-on experience in a manufacturing or production environment, with a specific focus on plant engineering, is preferred.",,IT," As a Plant Engineer at our Nairobi Plant, you’ll be at the heart of our manufacturing operations . Your role will directly contribute to creating beauty that moves the world while upholding the highest standards of environmental responsibility ."
"Officer, IT at BRAC",BRAC,,,,,,Administration," The IT Officer is the first point of contact for all staff at BKCL for information technology support . He will be responsible for providing an effective, professional and customer-focused ICT support service ."
Assistant Accountant at University of Nairobi,University of Nairobi,Applicants must have a Bachelor’s degree in Commerce or an equivalent qualification.,"Applicants should demonstrate a high level of integrity and the ability to maintain confidentiality. They should possess excellent communication, report writing, and analytical skills, and be effective team players.",,Applicants must have at least three (3) years of experience working in a similar position or related field on donor-funded projects.,,IT, Job Description: Assist the Project Accountant and Management team in preparation of annual and activity project budgets . Work closely with the project accountant and administrator to ensure relevant documents are attached to all payment request letters .
Active Jobs at Tatu City Limited,Tatu City Limited,,Skills and Experience,,Skills and Experience,,Other, The Accounts Receivable Accountant will be responsible for overseeing the accounts receivable function . The role includes managing direct reports and reporting directly to the Financial Controller .
Job Openings at The Pharo Foundation,The Pharo Foundation,,Exceptional ability to lead diverse teams across multiple countries and cultures.,,Proven experience in developing and executing growth strategies in the education sector.,,Other," Pharo Schools will expand its school portfolio from 7 to over 15 schools . The network will increase student enrollment from 4,000 to 25,000 over the next 10 years ."
"PP1 Resident Teacher, Maternity Cover (Tatu Primary) at Nova Pioneer",Nova Pioneer,,,,3-5  years of teaching experience,,Education," The role of a teacher in the role is to supervise and supervise children in a safe and secure environment for children . The role includes planning, reviewing and updating the school curriculum in line with the Learning Design team ."
Driver - Lodwar at Inkomoko,Inkomoko,,,,Experience working with humanitarian agencies is desired.,,Other, The position holder will support our team in the day today operations and movement of staff . The position is located in Lodwar- Kenya . The role will include driving authorized Inkomoko staff to and from various destinations .
Vacancies at Thika Power,Thika Power,,,,3+ years’ experience in operation and/or maintenance of a power plant,,Other," Performs skilled work on instrumentation and control systems in all areas of the plant . Inspects, troubleshoots, maintains, repairs, installs, adjusts, and calibrates . The role also performs electrical installation and maintenance works ."
Internship Opportunity - Logistics and Procurement at Concern Worldwide,Concern Worldwide,,,,,,Other," We are seeking applicants for 2 internship positions in;Logistics and Procurement to be based in Nairobi and Tana River . The intern will support and learn from the logistics and procurement staff, gaining exposure to the supply chain process ."
Key Account Manager at Bolt,Bolt,,Excellent communication & written skills in English.,,,,Other, Own the partner’s P&L and be responsible for its profitability and growth . Manage and expand relationships with existing key accounts . Proactively identify new business opportunities while ensuring key accounts meet KPIs .
Sales and Marketing Representative at Baron Capital Limited,Baron Capital Limited,Qualifications,Strong skills in Sales and Sales & Marketing,,Relevant experience in the financial sector is a plus,,Marketing," The Sales and Marketing Representative will be responsible for developing sales strategies, identifying and pursuing new sales opportunities, maintaining customer relationships, and providing excellent customer service . The role involves marketing our financial products and conducting market research ."
Business Development Senior Associate at Voluntas,Voluntas,,"Strong project management, problem-solving, and interpersonal skills",,Proven experience in leading business development initiatives as part of larger bi- and multilateral donor programs or procurement tenders,,Other, Your Responsibilities are to identify potential opportunities to develop and support the development of new projects . Your role is to work with colleagues to develop new projects and present ideas to the public .
Medical Engineering Tutor at Jodan College of Technology,Jodan College of Technology,,,,Over two years training experience.,,IT, Minimum Requirements: Degree or Higher Diploma in Medical Engineering . Over two years training experience . Ability to effectively teach the CBET curriculum .
Finance and Administration Manager at Youth Alive! Kenya (YAK),Youth Alive! Kenya (YAK),Qualifications and Experience,,Strategic Planning and Resource Allocation,Qualifications and Experience,,Finance," The Finance and Administration Manager is responsible for overseeing the financial health and operational efficiency of Youth Alive! Kenya . The FAM will lead a team to uphold transparency, accountability, and compliance with internal policies and donor requirements ."
Deputy Community Relations Coordinator at Victory Farms,Victory Farms,,,,"Proven Experience (3+ years) in community relations public relations, stakeholder management, field work or CSR implementation or a similar role.",,IT," Victory Farms is seeking a Deputy Community Relations Coordinator to build strong, collaborative, and sustainable relationships with surrounding communities . The position requires a proactive and organized individual who can balance fieldwork, administrative tasks, and strategic communication ."
Strategic Procurement Engineering Manager at PowerGen Renewable Energy,PowerGen Renewable Energy,Qualifications,Strong cost management and analytical skills with a strategic mindset.,,"Strong experience in EPC and supplier contract negotiation, execution, and compliance.",,IT," To lead the strategic procurement for PowerGen’s renewable energy projects, manage EPC contract negotiations, coordinating technical assessments and liaising with the engineering team, supplier performance, and cost optimization ."
Pharmacist at Africa Management Solutions Limited (AMSOL),Africa Management Solutions Limited (AMSOL),Required Qualifications,,,,,Healthcare," Role Summary: Responsible for monitoring the supply of all medicines used in the hospital . In charge of purchasing, manufacturing, dispensing, and quality testing their medication stock ."
Project Procurement Specialist at African Union - InterAfrican Bureau for Animal Resources,African Union - InterAfrican Bureau for Animal Resources,Qualifications and Experience Requirements for the Consultant,Demonstrated ability to work in a multicultural environment and good interpersonal skills;,,Qualifications and Experience Requirements for the Consultant,,Other," The objective of the assignment is to provide Procurement Services both technical and operational, in relation to the project . The PS will work with all relevant personnel to ensure the successful delivery of project outputs and project development objectives ."
Project Procurement Specialist at African Union - InterAfrican Bureau for Animal Resources,African Union - InterAfrican Bureau for Animal Resources,Qualifications and Experience Requirements for the Consultant,Demonstrated ability to work in a multicultural environment and good interpersonal skills;,,Qualifications and Experience Requirements for the Consultant,,Other," The objective of the assignment is to provide Procurement Services both technical and operational, in relation to the project . The PS will work with all relevant personnel to ensure the successful delivery of project outputs and project development objectives ."
Collection Officer (Logbook Product) at Phoenix Capital,Phoenix Capital,,Must have Strong communication and presentation skills,,Must have at least 2 years past experience in collection/ the above role.,,Administration," Roles and responsibilities: Processing of loans for new and existing clients . Due diligence including background checks, checking authenticity of collaterals, search, IDs, Work place, premise/business visits, Logbooks, Titles, Receipts and Logbooks ."
Clinical Officer Anaesthetist at Jacaranda Maternity,Jacaranda Maternity,,Knowledge & Skills Requirements,,Experience,,Healthcare, Clinical Officer is to coordinate and discuss planned care with the patient and other team professionals as appropriate . Duties and Responsibilities include monitoring and providing appropriate clinical care ( medical and surgical-anesthesia)
Flloca Advocacy and Communication Consultant at Volunteer Service Overseas (VSO),Volunteer Service Overseas (VSO),,,,VSO is therefore seeking support from an experienced consultant to help the policy and advocacy advisor propose new fundable advocacy models for FLLoCA work.,,Other," VSO has less resources to support community actions, deliver volunteer support or accompany people’s collectives as they implement and measure change in their communities . Investing in FLLoCA is not just a climate imperative—it is a development necessity ."
Communications Officer at Center for Domestic Training and Development,Center for Domestic Training and Development,,,,At least 1year of experience in communications role in non-profit or development sectors.,,IT," As a Communications Officer, you will support the development and execution of digital and offline communication strategies that increase visibility, enhance stakeholder engagement, and promote CDTD's programs and impact . You will work closely with the teams to ensure timely, creative, and strategic dissemination of content across multiple platforms ."
Oncology Nurse at Premier Hospital,Premier Hospital,MINIMUM REQUIREMENTS/ QUALIFICATIONS,,,At least one (1) year of working experience as an Oncology Nurse in reputable health facility.,,Healthcare," The role of this position is to monitor the physical, emotional, and psychological needs of cancer patients . The role includes managing chemotherapy, immunotherapy, and other oncology treatments ."
