Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Market Systems Program Manager at Inkomoko,Inkomoko,"ABOUT THE OPPORTUNITY & RESPONSIBILITIES
To lead the design, implementation, and scale-up of Inkomokoâ€™s market systems and market linkage strategies across Kenya, with a focus on creating inclusive economic opportunities for refugee and host communities. The Market Systems Program Manager will drive the development of frameworks and partnerships that strengthen market access for micro and small entrepreneurs, oversee a team of business advisors, and ensure that all interventions are aligned with systemic change principles. This role will be pivotal in fostering sustainable business growth through private sector engagement, cross-sector collaboration, and adaptive program management across diverse field locations
The objectives of this role include:
Design an implementation strategy and frameworks for Market linkage activities to serve micro and small entrepreneurs in Kenyaâ€™s refugee-hosting States, Counties, and secondary cities
Fully develop and operationalize program plans and to meet the needs of Inkomoko, our clients and partners.
Specific responsibilities include:
Program Management, Diagnostics and Strategy  (25% of the time)
Lead rigorous market systems diagnostics and value chain assessments in priority sectorsâ€”including livestock, solar energy, finance, logistics, agriculture, textiles, FMCG, and manufacturingâ€”to uncover systemic constraints, incentive structures, and leverage points for inclusive, sustainable change.
Map and engage a diverse range of market actorsâ€”including producers, buyers, service providers, and policy influencersâ€”to strengthen core and supporting market functions and foster well-functioning market linkage systems. Maintain a database of enterprises and identify those with high potential to crowd in and scale inclusive practices.
Oversee the day-to-day coordination, implementation, and quality assurance of MSD activities. Monitor progress, manage risks, and ensure timely, results-driven delivery
Collaborate with the training team to develop and deliver market-relevant capacity-building content that equips entrepreneurs with the skills and insights needed to engage competitively in value chains and adopt new market behaviors
Intervention Design and Portfolio Management (25% of the time)
Co-design and facilitate catalytic, market-driven interventions that address systemic constraints and root causes of market underperformance. Interventions should be facilitative, reinforcing existing market functions and incentivizing local actors to lead and sustain change.
Ensure all MSD initiatives are strategically aligned with organizational objectives and complementary programs within the client-facing Departments(Business Growth Services & Investment). 
Use adaptive management principles to adjust interventions based on ongoing market analysis, stakeholder feedback, and learning.
Promote inclusive business models that create value for marginalized market actors, including refugees and host communities. Facilitate the crowding-in of market actors by demonstrating commercially viable solutions, ensuring interventions are scalable, cost-effective, and anchored in market incentives rather than direct service delivery.
Partnerships & External Relations (15 % of the time)
Facilitate and maintain strategic relationships with private sector actors to co-create and support inclusive market opportunities for clients. Support the design and implementation of market-facing activities, such as exhibitions, buyer-seller forums, and trade events, that enhance clientsâ€™ visibility and access to end markets.
Engage proactively with start-ups and SMEs to identify systemic barriers to growth, co-develop pathways for upscaling.
Cultivate a robust network of private sector firms, producer organizations, and relevant development partnersâ€”particularly those engaged in agriculture, livestock, retail, and industrial productivityâ€”to foster collaboration and alignment across the market system.
Actively participate in market linkage forums, sector platforms, and ecosystem convenings to remain informed of evolving market trends, influence stakeholder coordination, and identify crowding-in opportunities to scale impact.
Market linkage activities (25% of the time )
Design and execute market linkage services like buyer engagement, tender distributions, buyer and supplier connections, etc, to enable clients to expand their businesses 
Work with consulting business advisors and Investment officers to identify clients suitable for market linkage opportunities.
Provide recruitment and training support, as needed. 
Lead market linkage initiatives by sharing key learnings internally, coordinating with business development and investment teams to identify high-potential clients, and supporting them in accessing and utilizing market opportunities. 
Provide hands-on coaching in marketing, manage local teams and resources efficiently, and ensure clients are well-positioned to grow through strategic visibility and connections.
M&E and Adoptive management (5 % of the time)
Lead the use of technology-enabled tools to systematically collect, record, and manage entrepreneur and market actor data to support evidence-based service delivery and adaptive programming.
Oversee the development and use of tools to monitor market actor behavior change, such as the adoption of inclusive business models, investment in support services, and improved market relationships.
Design and maintain intervention-specific results chains and systemic change frameworks, clearly articulating the linkages between program activities, outputs, outcomes, and intended market system shifts.
Co-design and implement robust M&E frameworks, including both quantitative and qualitative indicators, to track changes in market systems, particularly in areas such as actor behavior, crowding-in, and inclusion of marginalized groups.
Ensure high standards of data quality, consistency, and security across all interventions, supporting accurate analysis and real-time decision-making.
Management & Administration (5% of the time )
Contribute to the development of annual objectives, strategies, and work plans for BGS, ensuring alignment with organizational priorities and MSD principles.
Lead administrative planning for intervention roll-out, including budgeting, procurement requests, and compliance with internal financial and operational procedures.
Manage project resources effectively, ensuring responsible use of funds, timely reporting on expenditures, and adherence to donor and organizational guidelines.
Maintain accurate and up-to-date documentation of project activities, partner communications, contracts, and operational tools in line with data management standards.
Supervise or coordinate with support staff (e.g., finance, admin, logistics) to ensure seamless implementation of field activities and operational support across locations.
Participate in internal coordination meetings, contribute to reporting cycles, and provide updates on progress, risks, and administrative needs
Requirements
WHAT WE ARE LOOKING FOR
We are looking for candidates who have previously held Market Systems and project management leadership roles with demonstrated success, and who align with our company values.
7+ years of demonstrated success in program management of complex projects, Market systems programs. 
Masterâ€™s degree preferred, or Bachelorâ€™s degree in Project Management, Business administration, value chain management or related field 
Excellent team builders with demonstrated leadership and interpersonal skills, with the ability to train, supervise, evaluate, and give feedback to staff.
Experience with designing and implementing projects with a market-systems approach and/or to create market linkages in Kenya  
Experience working with micro and small businesses as well as overall market dynamics
Has a sound of understanding of challenges refugees and the local community face with regards to business growth.
Highly analytical and organized
Excellent creative and innovative thinking skills 
Fluency in English and Swahili required.  Any other local language is a plus",,Collaborate with the training team to develop and deliver market-relevant capacity-building content that equips entrepreneurs with the skills and insights needed to engage competitively in value chains and adopt new market behaviors,"To lead the design, implementation, and scale-up of Inkomokoâ€™s market systems and market linkage strategies across Kenya, with a focus on creating inclusive economic opportunities for refugee and host communities. The Market Systems Program Manager will drive the development of frameworks and partnerships that strengthen market access for micro and small entrepreneurs, oversee a team of business advisors, and ensure that all interventions are aligned with systemic change principles. This role will be pivotal in fostering sustainable business growth through private sector engagement, cross-sector collaboration, and adaptive program management across diverse field locations",Unclear,Experience with designing and implementing projects with a market-systems approach and/or to create market linkages in Kenya,Information Technology
Jobs at Standard Bank Group,Standard Bank Group,"Job Description
Responsible for all aspects related to collateral documentation, with a particular focus on scanning all incoming perfected securities and Vehicle and Asset Finance (VAF) documentation. This includes ensuring that securities associated with the bankâ€™s three main business streams; Personal & Private Banking, Business & Commercial Banking, and Corporate & Investment Bankingâ€”are accurately scanned and uploaded. The objective is to maintain a reliable and up-to-date online database of all collateral records.
Qualifications
Type of Qualification: First Degree
Experience Required
1-2 years
Experience in Records Management, with a strong preference for candidates with banking experienceâ€”particularly in relation to banking processes involving collateral documentation and its administration. A sound understanding of various types of bank securities is preferred.
go to method of application Â»",Qualifications,,,Unclear,Experience Required,Other
Bonded and Unbonded Warehouse Supervisor at Interactive Resource Management Ltd,Interactive Resource Management Ltd,"Purpose of the Role:
To manage and optimize operations within our bonded and unbonded warehouse facility.
Specific Duties & Responsibilities: 
Supervise daily bonded and unbonded warehouse operations including receiving, storage, inventory, and dispatch of goods.
Ensure full compliance with customs regulations and bonded warehouse procedures.
Maintain accurate records of stock movements, customs documentation, and inventory reports.
Liaise with customs authorities, freight forwarders, brokers, and internal departments to coordinate imports and exports.
Prepare and oversee audits, inspections, and customs declarations.
Manage and train warehouse staff on compliance protocols and safety procedures.
Monitor and report any discrepancies or non-compliance issues promptly.
Drive continuous improvement in warehouse processes and compliance standard
Maintain accurate inventory records and generate regular reports
Maintain accurate records of goods movements, warehouse reports, and order documentation.
Collaborate with internal teams (sales, logistics, and customer service) to ensure timely order fulfilment and customer satisfaction.
Handle returns, damaged goods, and packaging processes
Qualifications: 
Diploma or Bachelorâ€™s degree in Logistics, Supply Chain Management, Business Administration, or a related field.
Experience dealing with customs documentation (e.g., import/export declarations, Commercial Invoices, Packing Lists).
Customs Regulations: In-depth knowledge of customs regulations, import/export laws, and bonded warehouse operations
Additional training in customs clearance or freight forwarding is a strong advantage.
ICMS proficiency.
Proficiency in using warehouse management software for tracking and managing inventory
Minimum 3â€“5 years experience in a bonded warehouse supervisory role
Excellent organizational and leadership skills",,Excellent organizational and leadership skills,,Unclear,"Experience dealing with customs documentation (e.g., import/export declarations, Commercial Invoices, Packing Lists).",Other
Associate Intern (AI) at Clovers Management & Training Consultants Ltd,Clovers Management & Training Consultants Ltd,"Role:
The Associate Intern (AI) is responsible for managing information flow between client and the agency internal team.
In this role, the AI will collaboratively develop briefs and discuss client projects with key teams in client service and creative team.
The role will also entail review of all Integrated Marketing Communication Practice (Public Relations, Creative, Digital, Media, Experiential) plans for clients, their competition as well as monitoring their traditional and social media monitoring and engagement, coordinating social media content briefs, contributing to plans and strategies, and providing support to the team on various projects.
The role while one for learning the business should be for person who is self-driven, energetic, creative, curious person. This role requires you to be an enthusiastic & passionate individual.
SKILLS + COMPETENCIES
Entry level in Public Relations agency with minimal (0-1year) experience in an agency or any other busy organisation with growing expertise in client service and account management
Good written and verbal communication skills
Excellent organizational skills
Ability to prioritize and multi-task in a dynamic, creative and fast-paced environment
Ability to work well with others and independently as needed
Ability to cope with pressure and work with tight deadlines.
Positive attitude with a proactive approach
Undergraduate degree in communications, marketing, and advertising.
RESPONSIBILITIES 
Initiates and maintain communication and collaboration with internal teams
Consult with client on creative briefs requirements and drafts briefs to the internal teams (Advertising, PR, Media, Digital)
Collaboratively work with the teams to develop monthly integrated plans and calendar for clientâ€™s engagement and reports
Monitoring brief output and progress and keeping in contact with clients and internal teams
Develop weekly contact, status and competitor review reports.
Collaboratively work with the team to pitch for business content on both online and offline media.
Interfaces with client team contacts and internal teams
Identifies and proposes ways to advance team, client, and company goals
Provides sound judgment and problem-solving skills as client issues arise
Proactively seeks and sharing relevant information with colleagues and clients
PEOPLE 
A team player who works for the success of everyone
Manages deadlines while paying attention to detail â€¢ Builds strong relationships with internal and external stakeholders
CONSULTING
Supports the team with research, insights and market intelligence on clients
Supports the business in managing organic growth and driving new business â€¢
Ensures all key client deliverables are delivered in a timely fashion
Supports multiple accounts as and when required
Demonstrates understanding and interest in clientâ€™s business
Demonstrates creative and strategic thinking
Is a confident communicator 
BUSINESS ACUMEN
 Ability to support business in identifying new business opportunities
Knowledge of financial processes - budget reconciliation, invoicing, contract completion and LPOs
Supports Agency and client in compiling and entering a team for industry awards
Has knowledge and understanding of client contract and is responsible for compilation of monthly activity reports
Support the business in identifying incremental business opportunities on current accounts",,SKILLS + COMPETENCIES,,Unclear,Entry level in Public Relations agency with minimal (0-1year) experience in an agency or any other busy organisation with growing expertise in client service and account management,Information Technology
Active Roles at Cinnabon,Cinnabon,"We're on the hunt for a Store Manager who's as sweet as our signature rolls and knows how to serve up smiles daily! If you've got retail rhythm, team spirit, and a love for creating delicious experiences-we want you on our squad.
Key Responsibilities:
Oversee daily operations to ensure smooth service and quality at the Cinnabon store. Recruit, train, schedule, and mentor staff (baristas, bakers, support).
Uphold hygiene, operational excellence, and Cinnabon brand/health standards. Drive sales and analyze performance metrics to improve product offerings.
Manage inventory: perform stock counts and coordinate with suppliers.
Enforce cost controls (labor, wastage, and stock).
Execute store-level marketing initiatives in collaboration with marketing team. Handle customer complaints professionally to ensure satisfaction.
Prepare weekly/monthly reports on performance, staffing, and operations.
Promote a positive work environment that values teamwork and accountability.
Requirements:
Minimum 5 years in the Food & Beverage industry, with at least 2 years in a managerial or supervisory role.
Proven track record in managing high-traffic QSR, cafÃ©, or bakery.
Strong leadership, organizational, and people skills.
Proficient in POS, inventory management, and basic financial reporting. Flexible to work weekends and holidays.
go to method of application Â»",,"Strong leadership, organizational, and people skills.",,Unclear,"We're on the hunt for a Store Manager who's as sweet as our signature rolls and knows how to serve up smiles daily! If you've got retail rhythm, team spirit, and a love for creating delicious experiences-we want you on our squad.",Other
Chef de Cuisine (Banquets) at Marriott,Marriott,"JOB SUMMARY
Accountable for the quality, consistency and production of the restaurant kitchen. Exhibits culinary talents by personally performing tasks while leading the staff and managing all food related functions. Coordinates menus, purchasing, staffing and food preparation for the property's restaurant. Works with team to improve guest and employee satisfaction while maintaining the operating budget. Must ensure sanitation and food standards are achieved. Develops and trains team to improve results.
CANDIDATE PROFILE 
Education and Experience
Degree/Diploma from an accredited university in Culinary Arts, Hotel Management or related Course  
A minimum of four yearsâ€™ experience in banqueting within a 5-star hotel environment, in a similar or equivalent position, is required.
CORE WORK ACTIVITIES
Ensuring Culinary Standards and Responsibilities are Met for Restaurant
Develops, designs, or creates new applications, ideas, relationships, systems, or products, including artistic contributions for restaurant.
Supervises restaurant kitchen shift operations and ensures compliance with all Food & Beverage policies, standards and procedures.
Maintains food preparation handling and correct storage standards.
Recognizes superior quality products, presentations and flavor.
Plans and manages food quantities and plating requirements for the restaurant.
Communications production needs to key personnel.
Assists in developing daily and seasonal menu items for the restaurant.
Ensures compliance with all applicable laws and regulations.
Follows proper handling and right temperature of all food products.
Estimates daily restaurant production needs.
Prepares and cooks foods of all types, either on a regular basis or for special guests or functions.
Checks the quality of raw and cooked food products to ensure that standards are met.
Determines how food should be presented and creates decorative food displays.
Leading Kitchen Team
Supervises and coordinates activities of cooks and workers engaged in food preparation.
Utilizes interpersonal and communication skills to lead, influence, and encourage others; advocates sound financial/business decision making; demonstrates honesty/integrity; leads by example.
Leads shift teams while personally preparing food items and executing requests based on required specifications.
Supervises and manages restaurant kitchen employees. Managing all day-to-day operations. Understanding employee positions well enough to perform duties in employees' absence.
Encourages and builds mutual trust, respect, and cooperation among team members.
Serving as a role model to demonstrate appropriate behaviors.
Ensuring and maintaining the productivity level of employees.
Ensures employees are cross-trained to support successful daily operations.
Ensures employees understand expectations and parameters.
Establishes and maintains open, collaborative relationships with employees and ensures employees do the same within the team.
Establishing and Maintaining Restaurant Kitchen Goals
Sets and supports achievement of kitchen goals including performance goals, budget goals, team goals, etc.
Developing specific guidance and plans to prioritize, organize, and accomplish daily kitchen operations work.
Understands the impact of kitchen operation on the overall property financial goals and objectives and manages to achieve or exceed budgeted goals.
Effectively investigates, reports and follows-up on employee accidents.
Knows and implements company safety standards.
Ensuring Exceptional Customer Service
Provides services that are above and beyond for customer satisfaction and retention.
Manages day-to-day operations, ensuring the quality, standards and meeting the expectations of the customers on a daily basis.
Improves service by communicating and assisting individuals to understand guest needs, providing guidance, feedback, and individual coaching when needed.
Sets a positive example for guest relations.
Emphasizes guest satisfaction during all departmental meetings and focuses on continuous improvement.
Empowers employees to provide excellent customer service.
Handles guest problems and complaints.
Interacts with guests to obtain feedback on product quality and service levels.
Managing and Conducting Human Resource Activities 
Identifies the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.
Participates in training restaurant staff on menu items including ingredients, preparation methods and unique tastes.
Manages employee progressive discipline procedures.
Participates in the employee performance appraisal process, providing feedback as needed.
Uses all available on the job training tools for employees.
Assists as needed in the interviewing and hiring of employee team members with appropriate skills.
Additional Responsibilities 
Provides information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.
Analyzes information and evaluating results to choose the best solution and solve problems.
Attends and participates in all pertinent meetings.",,"Utilizes interpersonal and communication skills to lead, influence, and encourage others; advocates sound financial/business decision making; demonstrates honesty/integrity; leads by example.",,Unclear,Education and Experience,Hospitality & Tourism
Legal Intake Specialist- Personal Injury at Oasis Outsourcing,Oasis Outsourcing,"Intake Specialist to be the first point of contact for potential clients at our Personal Injury law firm. The ideal candidate will possess excellent communication skills, a client-first attitude, and the ability to gather and document critical case information efficiently and accurately.
Responsibilities:
Answer incoming calls, emails, and online inquiries from potential clients.
Conduct initial client interviews to gather relevant case details (accident type, injuries, insurance, etc.).
Evaluate potential cases based on firm criteria and escalate qualified leads to attorneys. Input and maintain accurate client information in the case management system.
Schedule consultations and follow up with leads to ensure timely communication.
Provide empathetic and professional support to individuals in distress or pain.
Coordinate with attorneys, paralegals, and medical providers as needed.
Maintain confidentiality and adhere to all legal and ethical standards.
Skills and qualifications - Hard and soft skills:
Associateâ€™s or Bachelorâ€™s degree preferred
Prior experience in a law firm, medical office role is a plus.
Strong interpersonal and communication skills (bilingual preferred).
Ability to multitask and manage time effectively in a fast-paced environment.
Proficient in Microsoft Office and legal case management software (e.g., Clio, Filevine, Needles). Knowledge of personal injury law or legal terminology is a strong advantage",,"Intake Specialist to be the first point of contact for potential clients at our Personal Injury law firm. The ideal candidate will possess excellent communication skills, a client-first attitude, and the ability to gather and document critical case information efficiently and accurately.",,Unclear,"Prior experience in a law firm, medical office role is a plus.",Legal & Compliance
Finance Business Partner - Support Functions at Tony Blair Institute for Global Change,Tony Blair Institute for Global Change,"We are looking for a talented candidate with significant finance business partnering experience in international, complex, and fast-paced environments, who will play a key role in shaping budgeting processes, improving performance reporting, supporting strategic initiatives and support senior leadership to meet their commercial obligations.
Key Responsibilities
Functional Leadership
Develop and deliver an Africa operating model for the Finance function, implementing the relevant systems, policies and processes, and aligning with other operational functions (Legal, Security, IT and People)
From the point of start-up, ensuring the delivery of timely, effective and quality support to local and regional stakeholders across the Finance function
Collaborating with our global Finance team in London, counterpart Finance Managers in other regions, and as part of the global community of operational roles
Identify, assess, and inform regional leadership of any internal and external finance matters that may impact operations at an organizational level, recommending interim or permanent solutions wherever possible and applicable
Lead or collaborate with others on special projects and other operational assignments as directed by regional leadership
Accountable for month-end process including accruals, prepayments, balance sheet and reviewing cash reconciliations
Continue to roll out the functionality of Workday and contribute to a five-working-day close
Systems, Policies and Processes
Ensure the implementation of global policies and standards for Finance across the region and any relevant local variations
Providing dedicated financial support to leadership and budget holders within the regions, including cost modelling and forecasting and variance and performance analysis
Enhance cash flow reporting within W&C Africa region, and improve the use of funds, maximising cash flow and liquidity
Produce Month end reports for region
Continue to roll out the functionality of Workday and contribute to a five-working-day close
Review and establish a reformed banking regime and signatories within region
 Financial Analysis & Reporting
Conduct in-depth financial analysis to support strategic and operational decision-making.
Prepare and present financial reports including variance analysis, trend analysis, and performance metrics. 
Provide actionable insights on profitability and cost recovery opportunities.
Analyse non-financial KPIs and operational performance indicators to identify trends and drivers impacting financial outcomes.
Assist in the preparation of monthly, quarterly, and annual financial statements and reporting packs (For the Africa region) and review quality regional reports provided by the regional Finance Managers
Review and approve journals for month-end close activities and develop presentation materials for senior leadership.
Budgeting, Forecasting & Financial Modelling
Lead and coordinate the Africa budgeting and forecasting process across departments.
Forecast income and revenue streams, ensuring accuracy and alignment with strategic objectives.
Monitor Africa actuals vs. budget performance and provide variance analysis and corrective action insights.
Support operational budget holders in planning, monitoring, and forecasting activities with support from the Regional Finance Managers
Regional Growth
Support leaders in the region and across the organization to establish TBIâ€™s presence in new countries, including the financial aspects of end-to-end program activation (and, where relevant, closure) and support on regional procurement and negotiations by providing financial analysis and ensuring contracts are compliant with TBI and donor regulations
Assist in the regionalisation process to ensure that we have the right systems, processes and capabilities within the region as we move to be regionally empowered
Step in and support the Regional Finance managers acting as their back-up when team members are out of office
Person Specification
Open and Progressive â€“ you will believe in the value of teamwork
Bold and Pragmatic â€“ you will approach everything you do with integrity and authenticity
Optimistic Changemakers â€“ you will be focused on results
Work collaboratively with colleagues and perform other duties as reasonably required to achieve the goals of your team and the Institute
Qualified accountant
Experience working within an NFP - preferable
Knowledge of accounting for donor funds â€“ preferable
Dynamic, confident candidate who can articulate verbally and by written presentation; ability to express complex ideas in a clear and straightforward manner to a variety of stakeholders
Must be able to take ownership and manage their own workflow with minimal input from management, set their own goals and plan how to achieve them â€“ translate into actions and follow through to completion, prioritise against tight deadlines
A motivational, collaborative and supportive manager and team-player, with demonstrable experience in working as part of a team
Great interpersonal skills - able to establish good cross departmental working relationships
Enthusiastic, self-driven, ambitious and always seeking continuous improvement
Positively embraces change, maintaining an open curious mindset
A keen interest in our work as an Institute, expansion and sharing of knowledge and personal development",,Great interpersonal skills - able to establish good cross departmental working relationships,,Unclear,"We are looking for a talented candidate with significant finance business partnering experience in international, complex, and fast-paced environments, who will play a key role in shaping budgeting processes, improving performance reporting, supporting strategic initiatives and support senior leadership to meet their commercial obligations.",Information Technology
Call Centre Training & Quality Assurance Manager at BURN,BURN,"About the role
Lead the training and knowledge transfer initiatives for BURN's call centres across Burn markets, supporting the company's expansion strategy. This role is crucial in developing and implementing comprehensive training programs that enhance call centre capabilities, ensure quality standards, and support carbon project monitoring. The position requires flexibility for extended travel to assigned countries and markets.
The objective of the role is to enhance call centre performance by developing and delivering effective training programs that equip agents with the necessary skills, knowledge, and tools to provide exceptional customer service, improve efficiency, and ensure adherence to company standards and compliance guidelines.
Duties and Responsibilities
Training Development & Delivery
Design and conduct training programs for new and existing Customer Care Representatives, both virtually and in-person.
Utilize various training methodologies, tools, and platforms (e.g., e-learning modules) to ensure effective learning outcomes.
Conduct ongoing training needs assessments to identify skill gaps and areas for improvement across the CX team.
Collaborate with product, operations, and sales teams to ensure training content is accurate, up-to- date and aligned with business goals.
Monitor and evaluate the effectiveness of training programs through assessments, feedback and post-training performance metrics.
Quality Assurance & Performance Management
Develop, implement and maintain a robust CX Quality Assurance framework, audit methodologies and feedback processes.
Oversee the regular monitoring and auditing of customer interactions (calls, chats, emails) to ensure adherence to quality standards, process compliance and brand guidelines.
Lead regular calibration sessions with QA Specialists, Team Leads, and other stakeholders to ensure consistency in quality scoring and feedback delivery.
Conduct root cause analysis on quality failures and recurring agent performance issues, proposing solutions and training interventions.
Performance Management & Coaching
Manage, mentor and develop a team of QA Specialists and CX Trainers, fostering a culture of continuous improvement and high performance.
Analyse CX performance data (QA scores, CSAT, FCR, AHT) to identify trends, opportunities and specific coaching needs for individuals and teams.
Partner with CX Team Leads and Managers to ensure quality insights are effectively translated into agent coaching and development plans.
Continuous Improvement & Reporting
Generate regular, insightful reports on training effectiveness, quality trends and overall CX performance.
Identify opportunities for process improvement based on quality data and training feedback to enhance efficiency and customer satisfaction.
Stay abreast of industry best practices in CX training and quality assurance, incorporating relevant innovations into the department's strategy.
Serve as a subject matter expert for CX quality standards and training methodologies within the organisation.
Key Performance Indicators (KPIs)
Internal and external QA score improvements
First Contact Resolution rate
Weekly PKE Tests/Mystery shopping performance metrics
Agent Engagement and Satisfaction scores
Special Requirements
Willingness to travel frequently to assigned countries for extended periods
Strong understanding of Biomass, Electric & carbon project monitoring and compliance
Excellence in both virtual and in-person training delivery.
Skills and Experience
Bachelorâ€™s degree in human resources, Business Administration, Communications, or a related field.
Certifications in training, coaching, or quality management are a plus.
Minimum of [e.g., 3-5] years of experience in a Customer Experience (CX) environment.
Proven experience in Learning & Development (training design and delivery), ideally within a contact centre or service environment.
Demonstrable experience in Quality Assurance (QA) monitoring and feedback within a CX context.
Exceptional communication skills (written and verbal) for training delivery, feedback, and reporting.
Strong analytical skills with the ability to interpret data, identify trends, and derive actionable insights (e.g., from QA scores, agent KPIs).
Coaching and feedback expertise: Ability to provide constructive, clear, and motivational feedback that drives behavioural change.
Instructional design basics: Understanding of adult learning principles and how to structure engaging training content.
Proficiency in relevant tools: Experience with Learning Management Systems (LMS), Quality Assurance platforms, and CRM/contact centre software (e.g., Ameyo).
Problem-solving aptitude: Ability to diagnose performance issues and propose effective solutions.
In-depth understanding of customer experience best practices and contact centre operations.
Knowledge of quality assurance methodologies and scoring calibration.
Understanding of e-commerce operations is a strong plus.",,"The objective of the role is to enhance call centre performance by developing and delivering effective training programs that equip agents with the necessary skills, knowledge, and tools to provide exceptional customer service, improve efficiency, and ensure adherence to company standards and compliance guidelines.",,Unclear,Skills and Experience,Information Technology
Vacancies at NCBA Group,NCBA Group,"About the Career Opportunity
As a key member of our HR & Culture Division, reporting directly to the Head of Talent Acquisition, you will play a pivotal role in shaping NCBA's talent landscape. You'll be at the forefront of attracting, engaging, and onboarding high-calibre talent who will drive our organization's continued success and growth. This is your opportunity to build something extraordinary, from designing innovative graduate programs to creating compelling employer branding initiatives that position NCBA as the employer of choice across Africa. You'll partner with business leaders, nurture future talent, and create experiences that reflect our values of being Driven, Open, Responsive, and Trusted.
We know you are the best because you have:
Minimum 5 years' experience in talent acquisition or HRBP roles, with at least 2 years in a supervisory or lead recruiter capacity
Bachelor's degree from a recognized accredited university, with completed or ongoing
CHRP certification
Proven track record in managing graduate programs and employer branding initiatives
Demonstrated success in building and implementing talent initiatives from the ground up in fast-paced environments
Project management expertise with certifications such as PMP or PRINCE2 preferred
Sound knowledge of labor regulations and best practices in talent acquisition.
go to method of application Â»",,,,Unclear,"As a key member of our HR & Culture Division, reporting directly to the Head of Talent Acquisition, you will play a pivotal role in shaping NCBA's talent landscape. You'll be at the forefront of attracting, engaging, and onboarding high-calibre talent who will drive our organization's continued success and growth. This is your opportunity to build something extraordinary, from designing innovative graduate programs to creating compelling employer branding initiatives that position NCBA as the employer of choice across Africa. You'll partner with business leaders, nurture future talent, and create experiences that reflect our values of being Driven, Open, Responsive, and Trusted.",Other
Job Openings at Pwani University,Pwani University,"Academic Qualification
The candidate must have a Diploma in Business Administration or its equivalent from a recognized Institution, with bias in Accounting and Finance.
Professional Qualifications
The candidate must have the following:
Have CPA I (Section 2) or its equivalent
Have knowledge of ERP (Enterprises Resource Planning)
Experience
The candidate must have four (4) years of relevant work experience, three (3) of which is at level of Accounts Assistant II or comparable position, with proven integrity, honesty, independence, innovativeness and compliance to deadlines.
In addition, the candidate should have experience in the following;
Assist in Management of student finance data
Assist in Preparation of asset register
Assist in Preparation of bank reconciliation
Assist in Preparation of budget
Assist in Preparation of payments vouchers
Assist in Reconciliation of debtors/ creditors
Filing of accountable documents
Undertake banking of receipts as per regulations
Skills
The candidate must have the following:-
Analytical skills
Communication skills
Computational skills
Computer proficiency
Interpersonal skills
Organisational skills
Report writing skills
Team work skills
Time management skills 
go to method of application Â»",Academic Qualification,Skills,,Unclear,Experience,Other
Careers at Britam,Britam,"Job Purpose:
The role holder is responsible for executing the day-to-day tasks/projects of the Actuarial unit by performing data checks and analysis, experience investigations, business projections and valuation of technical liabilities for the assigned LOB.
Key responsibilities:
Coordinate with the assigned Segment in the preparation of valuation data.
Timely calculation of accurate insurance technical liabilities provided for monthly financial reporting as well as carrying out Reserve Adequacy Tests. This includes preparation of reports on valuation results.
Timely calculation of solvency on monthly basis.
Carry out experience investigations as directed e.g. on expenses, product portfolio experience, intermediary loss ratio reports, etc.
Prepare input data for the annual business planning exercise, strategy reviews and for capital management/solvency purposes as well as Stress and Scenario testing on the projections.
Coordinate with the assigned Segment in the preparation of data for the management and board reports.
Delegated authority as per the approved delegated authority matrix.
Key Performance Measures:
As described in your Personal Score Card.
Knowledge, experience and qualifications required
University Degree or completion letter in actuarial science, statistics, engineering, mathematics, physics, economics or related field with strong emphasis on mathematical proficiency
Entry level.
Progress in Institute of Actuaries examinations (At least 1 paper).
Technical/ Functional competencies:
Statistical techniques.
Proficient knowledge on the insurance industry in Kenya. 
Knowledge of reinsurance arrangements and structures.
Knowledge of statistical packages or programming (e.g. SAS, Visual Basic). 
Database management systems.
go to method of application Â»","Knowledge, experience and qualifications required",,,Unclear,"The role holder is responsible for executing the day-to-day tasks/projects of the Actuarial unit by performing data checks and analysis, experience investigations, business projections and valuation of technical liabilities for the assigned LOB.",Other
Latest Recruitment at Mwananchi Credit Ltd,Mwananchi Credit Ltd,"Key Responsibilities:
Oversee daily operations and processes
Drive efficiency and manage costs
Implement policies and SOPs
Monitor branch and department performance
Must Have Qualifications:
Master's degree in operations, Finance or Business
10+ years in senior operations roles
Experience in process optimization and large team leadership
go to method of application Â»",,,,Unclear,Experience in process optimization and large team leadership,Other
