Job Title,Company,Description,Minimum Qualification,Skills Required,Location,Work Type,Years of Experience,Department
Product Technical Head - Delivery at Equity Bank Kenya,Equity Bank Kenya,"JOB PURPOSE:
The Group Head – Product Technical Delivery is responsible for leading the end-to-end technical implementation and delivery of digital products-payments across the Group. The role ensures seamless execution, adoption of product roadmaps, alignment of technical development with business strategy, and delivery of innovative, scalable, and secure solutions across all markets. This leader will work closely with Product Owners, TPMS, and Engineering and Business stakeholders to drive consistency, quality, and velocity in product technical delivery. This is a leadership role whose purpose is to guide the development and release of digital products that support the Bank in attaining the strategic pillars such as Food and Agriculture, Manufacturing, Trade and investments, MSMEs , social and environmental transformation and Technology enabled ecosystem.
KEY RESPONSIBILITIES (DUTIES)
Leadership & Strategic Delivery
Define and lead the Group’s product-payments technical delivery strategy, ensuring alignment with business goals and Book of Work (BOW) initiatives.
Drive consistent technical execution of products and platforms across subsidiaries.
Manage cross-functional delivery squads (Developers, Architects, QA, TPMs) to ensure timely, high-quality product launches.
People Management & Capability Building
Lead, mentor, and develop high-performing technical delivery teams across the Group.
Foster a collaborative, innovative, and delivery-focused culture.
Stakeholder Engagement
Collaborate with Product House, IT Operations, InfoSec, Risk and Business leaders to prioritize and align deliverables.
Serve as a bridge between technology and business, translating requirements into executable technical plans.
Product Delivery
Oversee the technical delivery of key digital initiatives (e.g., payments, agency banking, PWE, core integrations).
Champion agile and DevOps methodologies to enhance speed and adaptability.
Monitored project risks, dependencies, and performance metrics to ensure delivery against timelines and budgets.
Duties include defining support staff & service desk staff requirements, ticket review and measured feedback (support function KPI’s). Participate in leader on-call role.
Assists with support staff onboarding.
Facilitates and participates in employee team meetings.
Responsible for performance evaluations and related compensation recommendations, discipline, training of assigned staff to ensure operational effectiveness of group (including but not limited to completing appropriate documentation, new employee paperwork submission, account creation requests, equipment distribution and tracking, quarterly reviews, review and maintenance of weekly performance reports).
Lead and work closely with product managers across all products and channels capabilities to prioritize initiatives, share insights on customer demands, identify opportunities for teamwork, and coordinate product development and delivery.
Assists with support and training to staff (business) for a new Payment products for them to adopt.
Ensure Knowledge Transfer and hand off to Support teams and users.
Qualifications
EXPERIENCE:
5+ years of progressive experience in software development, solution architecture, or IT delivery leadership.
Proven experience delivering complex digital products in multi-country environments.
Strong technical understanding of APIs, microservices, cloud platforms, mobile/web architecture, and core banking integrations.
Demonstrated expertise in agile project delivery, DevOps, CI/CD practices.
Experience working in banking/financial services or large enterprise technology environments.
Must have hands on practical and min 5+ years’ experience utilizing Service NOW in a tech support function.
Min 5+ years acting in a lead/supervisor/management capacity.
Must have extensive experience in service desk KPIs and metrics.
ACADEMIC QUALIFICATIONS AND CERTIFICATIONS:
Must-Haves
Bachelor's degree in information technology, engineering, or related field required. MBA in addition is preferred.
Nice to Have
IT and Professional certifications
Product and Project management certifications
Any other relevant industry certification
ITIL Certification",Qualifications,,,Unclear,,Engineering
Business Development Executive at Equity Afia,Equity Afia,"Is responsible for identifying growth opportunities, establishing strategic partnerships, and increasing footfall at the clinics. This role involves developing and implementing strategic sales initiatives to drive revenue growth in a competitive healthcare environment.
  Bachelor’s degree in business administration/sales & marketing, or related field.
At least three (3) years’ working experience in a similar role. 
3–5 years of experience in business development, sales, or strategic partnerships, preferably within the healthcare industry; Hospitals, Pharmaceutical, and Insurance an added advantage drive revenue growth in a competitive healthcare environment. 
Desirable competencies
Proven track record of meeting sales or expansion targets.
Understanding of healthcare regulations, products, and services
Proficiency in computer skills (especially Health Management Information  Systems).
Good communication and interpersonal skills.",,Proficiency in computer skills (especially Health Management Information  Systems).,,Unclear,At least three (3) years’ working experience in a similar role.,Business
Research Intern at AIC Kijabe Hospital,AIC Kijabe Hospital,"Qualifications and skills    
Diploma or Degree in Biostatistics, Nursing, Clinical Medicine & Surgery, Nutrition or other related area
Previous research experience is an added advantage",Qualifications and skills,Qualifications and skills,,Unclear,Previous research experience is an added advantage,Information Technology
"Driver/Office Support, Kakamega at International Union for Conservation of Nature (IUCN)",International Union for Conservation of Nature (IUCN),"SPECIFIC DUTIES:
Transport and logistic support;
Provide driving services to the PMU and other assigned staff as instructed by the line manager.
Follow up planning and scheduling using Outlook Calendar and register transportation requests.
Deliver payment transfers to the bank and/or the suppliers, conduct cash purchases for CREATES.
Deliver and collect mail, documents, supplies, and other items as required.
Distribute mail as needed, both incoming and outgoing.
Ensure that all steps required by traffic rules and regulations are taken and adhered to, in case of involvement in an accident.
Ensure availability of all the required documents/supplies including vehicle insurance, vehicle registration, vehicle logs, office directory, map of the city/country, first aid kit, and necessary spare parts in the assigned vehicle.
Keep track of insurance and other tax formalities.
Support other drivers with the preparation of job cards, inspecting vehicles and ensuring all vehicles are fully equipped with tools, first aid kits.
Guest management & Protocol Liaison;
Meet official and high-ranking personnel at the airport and facilitate immigration and customs formalities, as required.
Drive the vehicle assigned by IUCN for the transportation of staff, guests and other authorized personnel.
Complete visa application forms for the CREATES staff both manually and electronically, submission and collection of Visas.
Vehicle maintenance management;
Ensure vehicle is always kept in good running condition through addressing minor repairs, planning for major repairs, timely changes of oil, check of tires, brakes, water levels and car washing.
Responsible for the day-to-day maintenance of the assigned vehicle, checks oil, water, battery, brakes, tires, etc., and performs minor repairs and arranges for other repairs.
Keep records as required and maintain a clear daily record of work done and/or vehicle movement.
Always ensure the safety of the vehicle and accessories during the time of use.
Facilitate routine maintenance of office vehicles, including proper and regular completion of vehicle maintenance records.
Inform the Procurement and Administration Officer of any major repairs required and ensure that the vehicles are always kept clean and in good working order.
Log official trips, daily mileage, gas consumption, oil changes, greasing, etc.
Keep track of timely car insurance renewals
Ensure compliance with applicable traffic laws, regulations, and/or IUCN rules, standards, and guidelines on vehicle usage.
Act as back-up for Administration & Project teams;
Assist in planning and participation in field work as required.
Taking notes during meetings and during field work
Assist with office operations including photocopying, printing basic documents, and making deliveries.
Act as a backup for the Front Office Administration Assistant on a needs basis by answering the phone and taking care of visitors’ registration, incl. maintaining a register of incoming visitors.
Liaison with taxi companies for pick up and drop offs.
Creating simple excel forms and data input for basic inventory, transfers as requested.
Perform other duties as may be assigned from time to time.
REQUIREMENTS
Education;
University degree in any area of study
Certificate in computer Packages
Possession of a valid Driver’s license. A mechanical certificate is required.
Defensive driving skills required.
Work Experience;
Minimum 8 years’ driving experience with 5 years’ experience of driving business executives and leaders in reputable firms within the private or public sector.
Exceptional knowledge of urban and rural road networks and driving conditions.
Clean driving record, with no violation of traffic law or major accidents.
Flexibility to work outside regular business hours and on weekends as needed.
Must possess good verbal communication skills with good writing skills.
Excellent interpersonal skills and experience working in a multi-stakeholder project environment.
Discretion and confidentiality in handling sensitive information Punctuality and reliability with a customer-focused mindset.
Ability to perform a variety of repetitive and routine tasks and duties.
Ability to handle a large volume of work possibly under time constraints.
Good knowledge of administrative rules and regulations.
Ability to operate and maintain a variety of computerized business machines and office equipment to provide efficient delivery of service.
Ability to organize and complete multiple tasks by establishing priorities.
Demonstrates excellent knowledge of driving rules and regulations and skills in minor vehicle repair.
Demonstrates excellent knowledge of protocol and security issues.",,Defensive driving skills required.,,Unclear,Work Experience;,Information Technology
Employment Opportunities at Embu County Government,Embu County Government,"VACANCY NO. CPSB 03/25 (E)
Terms of Service: Permanent and Pensionable
Duties and Responsibilities
Undertaking general diagnosis, care, treatment and rehabilitation of patients.
Carrying out specialized clinical care
Providing psychosocial interventions
Providing clinical services to patients,
Training, consulting and performing surgeries
Carrying out forensic and medico-legal services
Coordinating diseases surveillance, prevention and control
Coordinating health education and promotion
Implementing health projects and programmes
Maintaining up-to-date health information systems
Monitoring provision of health treatment and care
Undertaking health research
Analyzing medical reports
Requirements for Appointment
Served in a relevant and comparable position for a minimum period of three (3) years.
Bachelor of Medicine and Bachelor of Surgery (M.B.Ch.B) degree from an institution recognized by Medical Practitioners and Dentists Board.
Master's degree in Internal Medicine or its equivalent qualification from an institution recognized by the Medical Practitioners and Dentists Board.
Registration certificate by Medical Practitioners and Dentists Board.
Valid practicing license from Medical Practitioners and Dentists Board.
Certificate in Computer application skills from a recognized institution.
Demonstrated professional competence and managerial capability.
go to method of application »",Master's degree in Internal Medicine or its equivalent qualification from an institution recognized by the Medical Practitioners and Dentists Board.,Certificate in Computer application skills from a recognized institution.,,Unclear,,Agriculture & Environmental
Driver /Auto-Mechanic (Tatu Primary) at Nova Pioneer,Nova Pioneer,"ABOUT THE ROLE
The Driver / Mechanic shall be responsible and accountable for the execution of daily transportation of students and the mechanical maintenance of the Nova Pioneer’s fleet of motor vehicles. The Driver/ Mechanic directly reports to the Transport Manager.
Key deliverables include:
Operate the school motor vehicle in a safe and efficient way according to all relevant legislation, policies and procedures.
Ensure that “door to door” policy for dropping and picking of pupils is maintained.
Follow planned route on a time schedule.
Work together with the bus assistant in maintaining order in the bus.
Report and document any vehicle defect on daily basis.
Observe speed limits and all other road signs.
Fuel allocated vehicle as per fueling schedule.
Drive pupils to educational trips, sports activities and any other school activity in a safe manner.
Document actual mileage, timings and destination in the vehicle movement book before commencement of any trip.
Undertake daily routine checks for tyres, oil, radiator coolant and lights.
Notify Transport Manager of any accident/incident immediately.
Notify Transport Manager of any delay, route diversion and riots.
Follow Emergency policy when involved in emergencies or accident.
Ensure the allocated school motor vehicle is kept clean on daily basis.
Ensure the school motor vehicle is safely and securely parked on campus and when on trips.
Ensure that all pupils on route are on board before journey start.
Ensure all on board are aware of rules and responsibilities as passengers
Maintain order and discipline in the school motor vehicle.
Mechanic Duties & Responsibilities
Diagnosis of malfunctions and troubleshooting: Establish the nature of motor vehicle mechanical problems being experienced, track their frequency and any other unusual occurrences. Conduct inspections and test-drives to establish the cause of the mechanical problems and thereafter to confirm that they have been resolved.
Undertake or supervise the repair of mechanical repairs on all school motor vehicles: Fix and repair any malfunction/fault on the vehicle’s mechanical systems including and not limited to; engine components and parts, engine cooling system, suspension and steering system, braking system, transmission system, exhaust system.
Routine Maintenance: Perform weekly safety and maintenance checks on all Nova Pioneer vehicles, document all recommended safety and maintenance data and use it to monitor Key Performance Indicators used in strategic decision making.
Documentation: Maintain complete and accurate transport related control documents which include; Job Cards for each repair to be carried.
Feedback: Propose, participate and provide feedback to the Transport Manager on repairs that have been undertaken and maintain a proactive approach towards the execution of tasks.
Timelines: Work within timelines that ensure the school motor vehicles are ready for daily routes services with minimum or no interruption.
Perform any other duties as assigned on behalf of the organization including running errands, transporting staff and ferrying students to the hospital for emergency cases.
Compliance with Internal Policies, Standards, National Laws & Regulations
Adhere to the stipulated standards and conduct outlined by the Nova Pioneer Transport Policy, the Nova Pioneer Employee Handbook and other relevant policies.
Ensure that all National and County Legal requirements such as licenses, permits or certificates are met and continually kept current or updated. This includes any motor vehicle licenses, approvals, certificates and permits.
Champion & Promote Safety & Best Work Practices
Conduct weekly workplace inspection to ascertain adherence to the Workplace Health & Safety Protocols and other relevant standards.
Participate and own all Health & Safety initiatives that may be recommended by the Health & Safety Committee or other Organisation or School Leadership organs.
Responsibly handle and operate tools, equipment and machinery according to the prescribed manufacturer’s recommendations and safety procedures.
Correct unsafe conditions in the work area and promptly report any conditions that are not correctable to the supervisor.
Keep the workshop, equipment and tools in a safe operating condition.
Live the Nova Pioneer Culture
Fully embrace Nova Pioneer’s culture, values and beliefs and promote them to students, staff, parents and members of the outside community.
Work collaboratively and cohesively in a team, being mindful and respectful of each person’s contributions and style.
Maintain the adopted Nova Pioneer Transport Policy approach of door-to-door student pick-up and drop-off.
Ensure the strict adherence of the various Transport Services Standard Operating Procedures.
Attend and participate in team meetings that arise throughout the school year.
Operational Excellence
Proactively monitor and report/act on Customer Feedback.
Adhere to the Transport Services Safety and Operating Procedures and provide timely feedback.
Ensure accurate and timely documentation of all relevant records.
Performs other duties as assigned by your Manager from time to time.
ABOUT YOU
Skills and Qualifications required:
Diploma in Auto-mechanical engineering from a recognized institution.
Knowledge of highway code and school bus regulations.
Possess a PSV License.
Possess a BCE- Class Driving License for more than 8 years.
Must Possess a recent (not older than 6 months) Certificate of Good Conduct.
Recommendation from 3 previous employers.
Minimum 2 years’ experience with school bus transportation.
Ability to operate a school bus in a safe and responsible manner.
Client service and public interaction skills.
Analytical and problem-solving skills.
Effective verbal and listening communications skills.
First aid knowledge.",,,,Unclear,"Establish the nature of motor vehicle mechanical problems being experienced, track their frequency and any other unusual occurrences. Conduct inspections and test-drives to establish the cause of the mechanical problems and thereafter to confirm that they have been resolved.",Engineering
Accountant - Minet Group Finance at Minet Kenya,Minet Kenya,"Purpose for the Job
The holder of this position will be responsible for updating and maintaining the accounting ledgers of the Group’s holding companies, as well as actively participating in the Group Reporting and Financial Planning & Analysis (FP&A) processes.
Duties and Responsiblities
Posting approved invoices into the financial accounting system. This includes customer invoices, supplier invoices, intercompany invoices, credit memos.
Posting approved general ledger journals into the financial accounting system.
Posting approved revenue and expense accruals into the financial accounting system.
Preparing monthly bank reconciliations.
Preparing monthly general ledger reconciliations.
Preparing the monthly financial accounts, i.e., income statement, balance sheet, and variance commentary.
Preparing the monthly forecasts, i.e., income statement and cashflow forecasts.
Active participation in the annual end year audit of the company. This includes the preparation of the draft audited financial statements in compliance with IFRS.
Assist in driving and coordinating the Group monthly actuals reporting process including the preparation of variance analysis overviews and Group Consolidation.
Assist in driving and coordinating the Group monthly forecast process including the preparation of variance analysis overviews and Group Consolidation.
Assist in driving and coordinating the Group annual budgeting process, including the preparation of the Group consolidated budget.
Key Competencies
Knowledge And Skills Required
Strong written and verbal communication skills.
Strong analytical skills with attention to numerical detail.
Solid foundation in finance and accounting concepts.
Good organizational and planning skills.
Quick leaer and easily adaptable to change.
Proficient knowledge of Microsoft Office software, including Word, Excel, PowerPoint, Access, Outlook, and Microsoft Teams.
3 to 5 years’ experience in financial accounting, financial auditing, consolidation, and reporting.
Professional and Academic Qualifications
Bachelor’s degree in accounting, Finance, or any another Business-related course.
A Master’s degree will be an added advantage.
CPA part II or ACCA equivalent.",Professional and Academic Qualifications,Knowledge And Skills Required,,Unclear,"3 to 5 years’ experience in financial accounting, financial auditing, consolidation, and reporting.",Finance & Accounting
Computer Teacher (Upper Primary & Junior School) at Narok County Academy,Narok County Academy,"Key Responsibilities:
Plan and deliver effective computer lessons for Upper Primary and Junior School learners
Monitor, assess, and evaluate learner progress and provide appropriate feedback
Maintain a positive, disciplined, and inclusive learning environment
Integrate technology meaningfully into the teaching and learning process
Minimum Qualifications:
Bachelor’s Degree in Computer Science, Information Technology, or a related field
Demonstrated experience teaching computer studies at Upper Primary and/or Junior School level
Sound knowledge of age-appropriate computer applications and concepts
Strong communication, interpersonal, and classroom management skills",,"Strong communication, interpersonal, and classroom management skills",,Unclear,Demonstrated experience teaching computer studies at Upper Primary and/or Junior School level,Information Technology
Careers at County Government of Nyeri,County Government of Nyeri,"Requirements for Appointment:
For appointment to this post, one must;
Be a Kenyan Citizen;
Satisfy the provisions of Chapter Six of the Constitution of Kenya 2010;
Not be a State or Public Officer;
Possess a minimum qualification of a Bachelors’ Degree from a recognized University;
Have a working experience of not less than ten (10) years;
Demonstrate clear understanding of National and County Government goals, policies and developmental objectives; and
Have thorough knowledge of the Structural, Legislative and Regulatory Framework of Public Service.
Master’s degree will be an added advantage 
go to method of application »",Possess a minimum qualification of a Bachelors’ Degree from a recognized University;,,,Unclear,Have a working experience of not less than ten (10) years;,Finance & Accounting
Sales Agent at Momentum Credit,Momentum Credit,"This is a full-time on-site role based in Eldoret for a Direct Sales Agent. The Direct Sales Agent will be responsible for identifying potential clients, engaging in sales activities, providing excellent customer service, and managing relationships with clients. Daily tasks include meeting sales targets, preparing and presenting financing solutions, and maintaining accurate records of client interactions.
Qualifications
Strong Interpersonal Skills and Communication skills
Customer Service experience and abilities
Sales skills, including prospecting and closing techniques
Basic knowledge of Finance and financial products
Self-motivated and goal-oriented attitude
Ability to work independently and as part of a team
Experience in the financial services sector is a plus
Bachelor's degree in Business, Finance, Marketing, or related field",Qualifications,Strong Interpersonal Skills and Communication skills,,Unclear,Customer Service experience and abilities,Marketing & Sales
Jobs at AGL- Africa Global Logistics,AGL- Africa Global Logistics,"Mission Description                      
Monitoring & Coordination
Monitors and coordinates the movement of all shipments.
Communicates with the DILS and/or COMs in each country to ensure that the transit time and operations as agreed under the SLA is met. Where there is a deviation, escalates to Country and management in real time and push for proactive action to mitigate possible losses.
Improved Logistics Management.
Enhances the management of logistics by providing centralized platform for real time monitoring and tracking across all supply chain activities. By providing an end-to-end view, the control tower allows the Country and management to identify potential threats, delays and allows for proactive intervention, faster adjustments to resource allocation and stakeholder collaboration.
Profile
Bachelor's degree in Supply Chain Management, Logistics, Operations, Business or related field.
Industry Knowledge: Excellent knowledge of logistics, the freight forwarding and contract logistics operations
Proven track record in delivering excellent operations solutions consistently with the ability to multi-task and adjust quickly in short time frame with limited direct supervision.
Interpersonal Skills: ability to build rapport and establish trust, build team spirit and facilitate improvement in service offering.
Communication: strong verbal and written communication skills are essential for engaging with operations teams and presenting information effectively.
Self-Motivation: self-driven and result oriented with a passion exceeding client's expectation.
Organizational Skills: strong organizational and time management skills.
Technical proficiency; well versed with the use of MS Suite to present information
go to method of application »",,"ability to build rapport and establish trust, build team spirit and facilitate improvement in service offering.","Enhances the management of logistics by providing centralized platform for real time monitoring and tracking across all supply chain activities. By providing an end-to-end view, the control tower allows the Country and management to identify potential threats, delays and allows for proactive intervention, faster adjustments to resource allocation and stakeholder collaboration.",Unclear,,Business
Warehouse Supervisor at Healthy U,Healthy U,"Key Duties and responsibilities
Ensure FIFO and LIFO are adhered to when picking orders.
Ensure smooth stock movement of goods in terms of fast movers and slow movers.
Ensure goods are arranged well i.e., brand wise and in good condition.
Ensure backorders are limited (order fulfilment) by picking available items from the rest of the warehouses, sharing slow moving SKU's.
Support warehouse re-balancing.
Checking stock out levels and providing the stock out list to procurement for their processing and replenishment.
Reduction of operational lead times in picking, loading and dispatch of trucks.
Reduce transit loss and warehouse breakages and ensure that these losses are charged to the concerned person by invoicing the same.
Conducting stock take on a quarterly basis and preparing the stock-take report to be shared with relevant parties for planning purposes.
Sharing the sales order tracker on a daily or weekly basis.
Share daily and weekly sales which are measurable and aligns with corporate strategy for warehousing department.
Ensure cleanliness is maintained in the warehouse.
Pro-active approach, continuous improvement, being innovative and cutting down on cost.
Monitor and control access and security to the damages cage.
Any other duties may be assigned from time to time.
Qualification, Skills, and Experience:
Degree or diploma in Supply chain management or related discipline.
In-depth knowledge of warehouse professional standards and best practices.
Excellent communication and negotiation skills.
In-depth market knowledge and ability to develop relationships with key stakeholders.
Good understanding of FMCG manufacturing operations.
Exemplary planning skills.
High level of integrity.
Excellent team management skills.",,,,Unclear,,Healthcare & Medical
Training Manager at Boehringer Ingelheim,Boehringer Ingelheim,"Role and Responsibilities:
Strategically aligns training priorities and capability-build programs with strategic business goals and objectives and obtaining stakeholder support for imperative training initiatives.
Identify and assess training needs by consulting with Sales Management Teams and relevant Cross-functional Brand Teams, on an annual basis with periodic reviews as needed.
Develops and designs training curricula factoring in different levels of experience of the Customer Facing Roles in scope.
Runs evaluation of the training programs using the evaluation model in place to measure the impact of the training solution; ensuring the learner's performance is improved and the business objectives are met.
Runs regular assessments to check the sustainability of the learnings acquired from the training programs and identify performance areas to further develop and improve.
Plans coaching activities with the Customer Facing Roles and their Leaders to develop people (learners, cross-functional partners, teammates) through coaching, feedback & mentoring.
Selects and manages resources and technology, including internal cross functional collaboration, available training material and training vendors to develop and deliver training solutions in a cost-efficient manner - factoring in a blended approach of virtual instructor led training programs and face-to-face classroom training sessions.
Requirements:
Bachelor’s Degree in Lifesciences
Minimum 2 years of professional experience within sales/marketing
Previous successful experience into a training role will be a plus
Thorough knowledge of the pharmaceutical industry and practices 
MS Office (Excellent knowledge on MS Word, MS Excel and MS Power Point)",,,,Unclear,Develops and designs training curricula factoring in different levels of experience of the Customer Facing Roles in scope.,Information Technology
Part Time Lecturers at Bomet University College,Bomet University College,"QUALIFICATIONS:
An earned PhD or Master's degree and undergraduate degree in the relevant area or specialization from a recognized University.
Work experience in Industry will be an added advantage
go to method of application »",,,,Unclear,Work experience in Industry will be an added advantage,Education
People Business Partner at Kyosk Digital Services,Kyosk Digital Services,"Role Profile:
The People Business Partner for Kenya is a strategic leadership role responsible for developing and executing people strategies that are effective, efficient and directly aligned to the country's business objectives. This role requires a high degree of professional integrity, exceptional communication skills, in-depth knowledge of Kenyan labour laws and HR best practices, strong strategic thinking and outstanding organizational abilities.
The People Business Partner will serve as a consultant to senior management on all human resource-related matters, driving initiatives across organizational design, talent acquisition & development, performance management, employee engagement and the enhancement of company culture and policies.
Key Responsibilities:
Strategic HR Leadership: Partner with the Country leadership team to develop and implement a localized People Strategy that attracts, develops, motivates and retains top talent. Provide strategic input on workforce planning, budget allocation and organizational design to maximize ROI, reduce attrition and enhance productivity.
Talent Acquisition & Management: Provide broad oversight for all talent acquisition activities in the country. Spearhead the hiring for strategic and managerial roles to ensure a consistent pipeline of high-caliber talent. Take full ownership of the pre-boarding and onboarding experience, ensuring new hires are effectively integrated into the company.
HR Operations & Compliance: Oversee the entire employee lifecycle, ensuring seamless HR operations. Champion the digitization and modernization of HR systems (e.g., HRIS, Payroll). Ensure full compliance with all Kenyan labour laws and statutory regulations (NITA, NSSF, SHA, etc.). Treat employees as internal customers, providing timely support on day-to-day queries regarding benefits and policies.
Culture & Employee Relations: Act as the custodian of company culture, driving initiatives that foster an empowered, inclusive and high-performing work environment. Proactively manage employee relations, mediate disputes and forecast future ER needs. Partner with leadership to embed company values and ensure effective communication and collaboration across all levels.
Performance & Learning Development: Manage the end-to-end performance management cycle for the country. Guide managers on goal setting, reviews, evaluations and constructive feedback. Oversee the creation and execution of targeted L&D programs, workshops and trainings to address skill gaps and support professional growth.
Compensation & Benefits Management: Develop and oversee a competitive and equitable remuneration strategy for Kenya. Conduct regular benchmarking against the local market to ensure attractiveness. Manage the annual salary review process and advise leadership on compensation issues.
Succession Planning: Work with department heads to identify critical roles and develop robust succession plans. Facilitate the identification and development of high-potential employees to ensure business continuity and readiness for future challenges.
Reporting & Analytics: Develop and present comprehensive weekly, monthly, quarterly and annual HR reports to functional and operational leadership. Utilize HR metrics and data analytics to provide insights on trends and inform strategic decision-making.
Minimum Qualifications & Desired Skills:
Bachelor’s degree in Human Resources Management, Social Sciences, or a related field.
A valid Certified Human Resource Professional (CHRP-K) certification is mandatory.
A Master’s degree in HR, Business Administration (MBA), or a related field is a strong advantage.
Minimum of 8 years of progressive, inter-functional experience in Human Resources.
At least 4 years of experience in a senior HR generalist or business partner role, preferably within the FMCG, retail, technology, or a fast-paced startup environment.
Demonstrated experience in HR Information Systems (HRIS) implementation and management.
Proven ability to articulate a clear vision and influence stakeholders at all levels.
Deep understanding of Kenyan employment law and best practices.
Proven experience in coaching, mentoring and leading teams.
A calm, resilient, and insightful disposition, with proven success operating in VUCA (Volatile, Uncertain, Complex, Ambiguous) environments.
Competencies & Key Skills:
Strategic Thinking & Leadership
Business Acumen
Stakeholder Management & Influence
Exceptional Communication & Interpersonal Skills
Data-Driven Decision Making
Change Management
Project and Time Management
Cultural Leadership
Tech Savviness",,"The People Business Partner for Kenya is a strategic leadership role responsible for developing and executing people strategies that are effective, efficient and directly aligned to the country's business objectives. This role requires a high degree of professional integrity, exceptional communication skills, in-depth knowledge of Kenyan labour laws and HR best practices, strong strategic thinking and outstanding organizational abilities.","Partner with the Country leadership team to develop and implement a localized People Strategy that attracts, develops, motivates and retains top talent. Provide strategic input on workforce planning, budget allocation and organizational design to maximize ROI, reduce attrition and enhance productivity.",Unclear,"Provide broad oversight for all talent acquisition activities in the country. Spearhead the hiring for strategic and managerial roles to ensure a consistent pipeline of high-caliber talent. Take full ownership of the pre-boarding and onboarding experience, ensuring new hires are effectively integrated into the company.",Business
Expense Accountant at Hilalium & Sons (Ur Home ) Ltd,Hilalium & Sons (Ur Home ) Ltd,"Duties & Responsibilities
Expense Processing & Verification: Review all employee expense claims (travel, entertainment, office expenses, etc.)for compliance with company policy, proper approval, and adherence to Kenyan tax laws.
Accurately and timely record expense vouchers in the accounting system.
Accounts Payable Management (Expense-related): Process and verify vendor invoices related to operational expenses for payment.
Manage employee expense advance requests, disbursements, and settlements.
Compliance & Taxation: Ensure all expense claims comply with Kenya Revenue Authority(KRA)regulations on deductible input VAT, with particular attention to compliant Tax Invoices.
Assist in preparing supporting documents for tax filings related to expenses.
Ensure adherence to local Employment Act stipulations regarding travel allowances, etc. Reporting & Reconciliation
Expected Skills, Competencies & Qualifications
Bachelor's degree in Accounting, Finance, or a related field.
Minimum of 2 years of experience as an Expense Accountant, Accounts Payable Accountant, or in a similar role within a Kenyan company.
Hands-on experience with major accounting software (e.g., SAP, Oracle, QuickBooks, Xero, Pastel). Must have in-depth knowledge of Kenyan tax laws, especially the applicationofValue Added Tax (VAT) and Withholding Tax on expenses. Strong understanding of statutory documents in Kenya (e.g., KRA-pinnedVATinvoices).
Advanced proficiency in Microsoft Excel (pivot tables, VLOOKUP, etc.). Meticulous attention to detail, analytical mindset, and strong problem-solvingskills.
Excellent communication skills to explain financial policies clearly to non-financestaff. High degree of professional ethics and integrity.
Available immediately","Expected Skills, Competencies & Qualifications","Expected Skills, Competencies & Qualifications",,Unclear,"Minimum of 2 years of experience as an Expense Accountant, Accounts Payable Accountant, or in a similar role within a Kenyan company.",Finance & Accounting
HR Advisor at Christian Blind Mission (CBM),Christian Blind Mission (CBM),"We are seeking an experienced HR Advisor, based in Kenya, to provide high-quality, people-centred HR support across country programmes. In this role, you will support employees and managers across the full employee lifecycle, helping to ensure smooth HR operations, strong compliance with local and organisational policies, and a positive, inclusive employee experience. You will work closely with country teams and global HR colleagues to deliver practical, timely, and values-driven HR support in line with organisational standards and ways of working. 
You Will:
Provide HR generalist support and advice to employees and line managers across the full employee lifecycle, including personnel and labour law matters. 
Deliver operational HR services in close cooperation with the Global HR Business Partner. 
Take ownership of defined HR tasks and contribute to HR projects based on your expertise. 
Develop, improve, and digitise HR processes, ensuring quality and consistency. 
Maintain high data quality and integrity within HR systems. 
Support country programmes with timely and needs-based HR services. 
Collaborate effectively within the wider HR community. 
Coordinate external service providers within your area of responsibility. 
Stay up to date through continuous professional development. 
You Have:
Bachelor’s degree in Human Resources, Business Administration, or a related field. 
Professional experience in Human Resources within an international organisation, NGO, or INGO is an added advantage. 
Experience working in a shared services HR environment is an added advantage. 
Strong working knowledge of HR systems (HRIS). 
Solid knowledge of local labour laws; understanding of international labour law is an advantage. 
Digital mindset, with openness to change and continuous systems improvement. 
Structured, independent, and detail-oriented working style. 
Ability to work effectively in intercultural and international environments. 
Fluency in English; additional language skills are a plus. 
Identification with the Christian values and mandate of CBM",,Fluency in English; additional language skills are a plus.,,Unclear,"We are seeking an experienced HR Advisor, based in Kenya, to provide high-quality, people-centred HR support across country programmes. In this role, you will support employees and managers across the full employee lifecycle, helping to ensure smooth HR operations, strong compliance with local and organisational policies, and a positive, inclusive employee experience. You will work closely with country teams and global HR colleagues to deliver practical, timely, and values-driven HR support in line with organisational standards and ways of working.",Human Resources
